"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Cd38" 2.11666497527656e-50 3.64048365994307 0.237 0.109 1.51764878727329e-47
"Rsad2" 0 3.6287787990717 0.884 0.498 0
"Mt2" 0 3.58095273880804 0.217 0.003 0
"Pclaf" 3.94829900622185e-22 3.56828210822542 0.064 0.02 2.83093038746107e-19
"Pcp4l1" 1.88502999174082e-159 3.50447063637206 0.102 0.004 1.35156650407817e-156
"Slc7a11" 1.37365069563667e-96 3.49278889788469 0.191 0.045 9.84907548771492e-94
"Myc" 5.57665930045107e-84 3.49071441820893 0.107 0.015 3.99846471842342e-81
"Slfn9" 0 3.47507599491691 0.5 0.026 0
"Hist1h4h" 0 3.47363396709171 0.29 0.01 0
"Csf1" 4.89122466555167e-57 3.46551708794644 0.13 0.034 3.50700808520055e-54
"H1fx" 2.06386112094256e-256 3.44038344383507 0.149 0.003 1.47978842371582e-253
"Marco" 0 3.4326485842233 0.457 0.034 0
"Hist2h2ac" 0 3.40233201023933 0.243 0.011 0
"Xlr" 5.46704806127242e-48 3.3901842093207 0.034 0.002 3.91987345993232e-45
"Cox6b2" 7.23296669354859e-279 3.36383570697585 0.188 0.008 5.18603711927434e-276
"Tyms" 0 3.34039751117142 0.322 0.019 0
"Ung" 0 3.31063231198268 0.965 0.151 0
"Dmkn" 4.98972641620874e-44 3.30961819313984 0.03 0.001 3.57763384042167e-41
"Mcm3" 0 3.28775793589502 0.301 0.007 0
"Slfn5" 2.63549602194601e-241 3.28192349675037 0.225 0.02 1.88965064773529e-238
"Selenom" 0 3.26435780226205 0.98 0.223 0
"Cd209a" 4.96517897886806e-159 3.2329672911364 0.11 0.005 3.5600333278484e-156
"Kctd14" 4.17990608146365e-195 3.22185548893039 0.137 0.006 2.99699266040943e-192
"Cox4i2" 0 3.2162004337016 0.283 0.01 0
"H1f0" 4.08851889683137e-304 3.19519319200062 0.908 0.818 2.93146804902809e-301
"Gm45509" 0 3.19119541944494 0.941 0.202 0
"Prg3" 0 3.18965080755032 0.955 0.12 0
"P2ry10" 5.83516129462799e-31 3.16717133633539 0.065 0.016 4.18381064824827e-28
"Fabp5" 1.52792873078863e-241 3.13375122879039 0.263 0.03 1.09552489997545e-238
"Cdc20" 0 3.01759323380692 0.658 0.065 0
"Trem3" 0 3.00654894973407 0.482 0.037 0
"Sgo1" 0 2.98812315208098 0.973 0.166 0
"Hspd1" 0 2.95048739944816 0.935 0.23 0
"Slfn1" 0 2.93904492066872 0.338 0.011 0
"Cenpa" 0 2.92820897448173 0.95 0.329 0
"Clspn" 0 2.9122790161735 0.229 0.009 0
"Oasl2" 0 2.90081211663424 0.193 0.004 0
"Ltb4r1" 0 2.88813273491753 0.767 0.163 0
"Ybx3" 0 2.87845330089435 0.986 0.467 0
"Pcdh7" 2.37753447495615e-25 2.86844973826247 0.039 0.007 1.70469221854356e-22
"Nuf2" 0 2.8502457751609 0.968 0.321 0
"Fnbp1l" 2.28673203765392e-284 2.84005971788873 0.163 0.004 1.63958687099786e-281
"Mif" 4.73741243208561e-113 2.8398531681445 0.17 0.029 3.39672471380538e-110
"Cytip" 0 2.83500842989979 0.86 0.112 0
"Tpx2" 2.05870493995831e-284 2.83056874540056 0.237 0.018 1.47609144195011e-281
"Neil3" 0 2.82360864442074 0.903 0.247 0
"Dntt" 0 2.82284791254541 0.998 0.508 0
"Cks2" 1.79592283483913e-220 2.8209431179175 0.303 0.047 1.28767667257966e-217
"Prg2" 0 2.79589180642009 0.997 0.677 0
"Hist1h3b" 1.30050163353384e-102 2.79335330059514 0.074 0.004 9.32459671243767e-100
"Il12a" 7.24219518356134e-142 2.75707108944863 0.789 0.761 5.19265394661348e-139
"Ccl4" 0 2.74743221953749 0.965 0.497 0
"Clec4b1" 0 2.71481855201171 0.996 0.628 0
